Data Table for Daily Case Trends - Florida
Date generated: Tue Dec 14 2021 15:16:56 GMT-1000 (Hawaii-Aleutian Standard Time)
State,Date,New Cases
Florida,Oct  6 2020,2488
Florida,Oct  5 2020,2266
Florida,Oct  4 2020,1376
Florida,Oct  3 2020,1854
Florida,Oct  2 2020,2758
Florida,Oct  1 2020,2651
Florida,Sep 30 2020,2794
Florida,Sep 29 2020,2047
Florida,Sep 28 2020,3183
Florida,Sep 27 2020,808
Florida,Sep 26 2020,1831
Florida,Sep 25 2020,2765
Florida,Sep 24 2020,2801
Florida,Sep 23 2020,2588
Florida,Sep 22 2020,2581
Florida,Sep 21 2020,2381
Florida,Sep 20 2020,1646
Florida,Sep 19 2020,2491
Florida,Sep 18 2020,3543
Florida,Sep 17 2020,3180
Florida,Sep 16 2020,3257
Florida,Sep 15 2020,2296
Florida,Sep 14 2020,2642
Florida,Sep 13 2020,1770
Florida,Sep 12 2020,2368
Florida,Sep 11 2020,3151
Florida,Sep 10 2020,3637
Florida,Sep  9 2020,2530
Florida,Sep  8 2020,2316
Florida,Sep  7 2020,1798
Florida,Sep  6 2020,1861
Florida,Sep  5 2020,2460
Florida,Sep  4 2020,3652
Florida,Sep  3 2020,3194
Florida,Sep  2 2020,3572
Florida,Sep  1 2020,2495
Florida,Aug 31 2020,7368
Florida,Aug 30 2020,1679
Florida,Aug 29 2020,2600
Florida,Aug 28 2020,3108
Florida,Aug 27 2020,3583
Florida,Aug 26 2020,3161
Florida,Aug 25 2020,3251
Florida,Aug 24 2020,2724
Florida,Aug 23 2020,2045
Florida,Aug 22 2020,2988
Florida,Aug 21 2020,4288
Florida,Aug 20 2020,4612
Florida,Aug 19 2020,4518
Florida,Aug 18 2020,4102
Florida,Aug 17 2020,3848
Florida,Aug 16 2020,2669
Florida,Aug 15 2020,3789
Florida,Aug 14 2020,6242
Florida,Aug 13 2020,6076
Florida,Aug 12 2020,6195
Florida,Aug 11 2020,8040
Florida,Aug 10 2020,5743
Florida,Aug  9 2020,4133
Florida,Aug  8 2020,6103
Florida,Aug  7 2020,8301
Florida,Aug  6 2020,7508
Florida,Aug  5 2020,7547
Florida,Aug  4 2020,5406
Florida,Aug  3 2020,5335
Florida,Aug  2 2020,4794
Florida,Aug  1 2020,7027
Florida,Jul 31 2020,9448
Florida,Jul 30 2020,8860
Florida,Jul 29 2020,9795
Florida,Jul 28 2020,9288
Florida,Jul 27 2020,9102
Florida,Jul 26 2020,8775
Florida,Jul 25 2020,9217
Florida,Jul 24 2020,11975
Florida,Jul 23 2020,12266
Florida,Jul 22 2020,10055
Florida,Jul 21 2020,9638
Florida,Jul 20 2020,9227
Florida,Jul 19 2020,10360
Florida,Jul 18 2020,12352
Florida,Jul 17 2020,10139
Florida,Jul 16 2020,11165
Florida,Jul 15 2020,13723
Florida,Jul 14 2020,9966
Florida,Jul 13 2020,9157
Florida,Jul 12 2020,12161
Florida,Jul 11 2020,15122
Florida,Jul 10 2020,10220
Florida,Jul  9 2020,11236
Florida,Jul  8 2020,8860
Florida,Jul  7 2020,9924
Florida,Jul  6 2020,7275
Florida,Jul  5 2020,6217
Florida,Jul  4 2020,9826
Florida,Jul  3 2020,11298
Florida,Jul  2 2020,9298
Florida,Jul  1 2020,9422
Florida,Jun 30 2020,6526
Florida,Jun 29 2020,6013
Florida,Jun 28 2020,5354
Florida,Jun 27 2020,8329
Florida,Jun 26 2020,9510
Florida,Jun 25 2020,8798
Florida,Jun 24 2020,4982
Florida,Jun 23 2020,5454
Florida,Jun 22 2020,3795
Florida,Jun 21 2020,2746
Florida,Jun 20 2020,4608
Florida,Jun 19 2020,3992
Florida,Jun 18 2020,3308
Florida,Jun 17 2020,2691
Florida,Jun 16 2020,2429
Florida,Jun 15 2020,2692
Florida,Jun 14 2020,1756
Florida,Jun 13 2020,2131
Florida,Jun 12 2020,2468
Florida,Jun 11 2020,1633
Florida,Jun 10 2020,1665
Florida,Jun  9 2020,1244
Florida,Jun  8 2020,1152
Florida,Jun  7 2020,1029
Florida,Jun  6 2020,1392
Florida,Jun  5 2020,1242
Florida,Jun  4 2020,1014
Florida,Jun  3 2020,1264
Florida,Jun  2 2020,1209
Florida,Jun  1 2020,602
Florida,May 31 2020,699
Florida,May 30 2020,870
Florida,May 29 2020,751
Florida,May 28 2020,1220
Florida,May 27 2020,611
Florida,May 26 2020,474
Florida,May 25 2020,501
Florida,May 24 2020,979
Florida,May 23 2020,544
Florida,May 22 2020,733
Florida,May 21 2020,724
Florida,May 20 2020,1187
Florida,May 19 2020,474
Florida,May 18 2020,612
Florida,May 17 2020,653
Florida,May 16 2020,1136
Florida,May 15 2020,479
Florida,May 14 2020,784
Florida,May 13 2020,790
Florida,May 12 2020,799
Florida,May 11 2020,606
Florida,May 10 2020,383
Florida,May  9 2020,680
Florida,May  8 2020,771
Florida,May  7 2020,343
Florida,May  6 2020,627
Florida,May  5 2020,584
Florida,May  4 2020,574
Florida,May  3 2020,766
Florida,May  2 2020,631
Florida,May  1 2020,703
Florida,Apr 30 2020,976
Florida,Apr 29 2020,514
Florida,Apr 28 2020,343
Florida,Apr 27 2020,747
Florida,Apr 26 2020,519
Florida,Apr 25 2020,794
Florida,Apr 24 2020,734
Florida,Apr 23 2020,1212
Florida,Apr 22 2020,697
Florida,Apr 21 2020,859
Florida,Apr 20 2020,745
Florida,Apr 19 2020,711
Florida,Apr 18 2020,741
Florida,Apr 17 2020,1080
Florida,Apr 16 2020,1198
Florida,Apr 15 2020,900
Florida,Apr 14 2020,592
Florida,Apr 13 2020,923
Florida,Apr 12 2020,809
Florida,Apr 11 2020,1063
Florida,Apr 10 2020,1089
Florida,Apr  9 2020,1033
Florida,Apr  8 2020,1046
Florida,Apr  7 2020,1005
Florida,Apr  6 2020,1159
Florida,Apr  5 2020,765
Florida,Apr  4 2020,1149
Florida,Apr  3 2020,1280
Florida,Apr  2 2020,1268
Florida,Apr  1 2020,1031
Florida,Mar 31 2020,902
Florida,Mar 30 2020,851
Florida,Mar 29 2020,875
Florida,Mar 28 2020,707
Florida,Mar 27 2020,659
Florida,Mar 26 2020,535
Florida,Mar 25 2020,498
Florida,Mar 24 2020,283
Florida,Mar 23 2020,176
Florida,Mar 22 2020,297
Florida,Mar 21 2020,203
Florida,Mar 20 2020,142
Florida,Mar 19 2020,76
Florida,Mar 18 2020,99
Florida,Mar 17 2020,62
Florida,Mar 16 2020,27
Florida,Mar 15 2020,31
Florida,Mar 14 2020,40
Florida,Mar 13 2020,20
Florida,Mar 12 2020,5
Florida,Mar 11 2020,6
Florida,Mar 10 2020,2
Florida,Mar  9 2020,5
Florida,Mar  8 2020,1
Florida,Mar  7 2020,4
Florida,Mar  6 2020,0
Florida,Mar  5 2020,1
Florida,Mar  4 2020,4
Florida,Mar  3 2020,1
Florida,Mar  2 2020,2
Florida,Mar  1 2020,0
Florida,Feb 29 2020,0
Florida,Feb 28 2020,0
Florida,Feb 27 2020,0
Florida,Feb 26 2020,0
Florida,Feb 25 2020,0
Florida,Feb 24 2020,0
Florida,Feb 23 2020,0
Florida,Feb 22 2020,0
Florida,Feb 21 2020,0
Florida,Feb 20 2020,0
Florida,Feb 19 2020,0
Florida,Feb 18 2020,0
Florida,Feb 17 2020,0
Florida,Feb 16 2020,0
Florida,Feb 15 2020,0
Florida,Feb 14 2020,0
Florida,Feb 13 2020,0
Florida,Feb 12 2020,0
Florida,Feb 11 2020,0
Florida,Feb 10 2020,0
Florida,Feb  9 2020,0
Florida,Feb  8 2020,0
Florida,Feb  7 2020,0
Florida,Feb  6 2020,0
Florida,Feb  5 2020,0
Florida,Feb  4 2020,0
Florida,Feb  3 2020,0
Florida,Feb  2 2020,0
Florida,Feb  1 2020,0
Florida,Jan 31 2020,0
Florida,Jan 30 2020,0
Florida,Jan 29 2020,0
Florida,Jan 28 2020,0
Florida,Jan 27 2020,0
Florida,Jan 26 2020,0
Florida,Jan 25 2020,0
Florida,Jan 24 2020,0
Florida,Jan 23 2020,0
