Data Table for Daily Case Trends - Texas
Date generated: Tue Dec 14 2021 15:17:07 GMT-1000 (Hawaii-Aleutian Standard Time)
State,Date,New Cases
Texas,Nov 22 2020,9769
Texas,Nov 21 2020,14922
Texas,Nov 20 2020,13795
Texas,Nov 19 2020,14270
Texas,Nov 18 2020,10987
Texas,Nov 17 2020,13643
Texas,Nov 16 2020,7828
Texas,Nov 15 2020,7923
Texas,Nov 14 2020,11509
Texas,Nov 13 2020,13316
Texas,Nov 12 2020,10589
Texas,Nov 11 2020,13166
Texas,Nov 10 2020,12935
Texas,Nov  9 2020,4849
Texas,Nov  8 2020,6878
Texas,Nov  7 2020,9560
Texas,Nov  6 2020,9239
Texas,Nov  5 2020,10171
Texas,Nov  4 2020,9817
Texas,Nov  3 2020,10665
Texas,Nov  2 2020,5455
Texas,Nov  1 2020,4259
Texas,Oct 31 2020,7145
Texas,Oct 30 2020,6631
Texas,Oct 29 2020,6826
Texas,Oct 28 2020,5627
Texas,Oct 27 2020,7292
Texas,Oct 26 2020,4700
Texas,Oct 25 2020,4304
Texas,Oct 24 2020,6499
Texas,Oct 23 2020,6472
Texas,Oct 22 2020,6291
Texas,Oct 21 2020,5252
Texas,Oct 20 2020,5030
Texas,Oct 19 2020,4748
Texas,Oct 18 2020,3216
Texas,Oct 17 2020,4885
Texas,Oct 16 2020,5870
Texas,Oct 15 2020,4726
Texas,Oct 14 2020,4826
Texas,Oct 13 2020,5130
Texas,Oct 12 2020,2648
Texas,Oct 11 2020,2418
Texas,Oct 10 2020,4230
Texas,Oct  9 2020,4036
Texas,Oct  8 2020,4238
Texas,Oct  7 2020,4121
Texas,Oct  6 2020,4132
Texas,Oct  5 2020,3409
Texas,Oct  4 2020,2884
Texas,Oct  3 2020,7006
Texas,Oct  2 2020,3503
Texas,Oct  1 2020,3534
Texas,Sep 30 2020,5683
Texas,Sep 29 2020,4062
Texas,Sep 28 2020,4090
Texas,Sep 27 2020,1694
Texas,Sep 26 2020,4886
Texas,Sep 25 2020,4633
Texas,Sep 24 2020,4320
Texas,Sep 23 2020,3392
Texas,Sep 22 2020,17820
Texas,Sep 21 2020,9853
Texas,Sep 20 2020,2466
Texas,Sep 19 2020,3827
Texas,Sep 18 2020,3422
Texas,Sep 17 2020,4047
Texas,Sep 16 2020,6026
Texas,Sep 15 2020,5342
Texas,Sep 14 2020,3970
Texas,Sep 13 2020,1845
Texas,Sep 12 2020,4324
Texas,Sep 11 2020,3456
Texas,Sep 10 2020,4018
Texas,Sep  9 2020,4000
Texas,Sep  8 2020,1421
Texas,Sep  7 2020,2060
Texas,Sep  6 2020,2995
Texas,Sep  5 2020,4486
Texas,Sep  4 2020,5482
Texas,Sep  3 2020,3680
Texas,Sep  2 2020,4334
Texas,Sep  1 2020,4364
Texas,Aug 31 2020,2615
Texas,Aug 30 2020,3824
Texas,Aug 29 2020,4762
Texas,Aug 28 2020,4031
Texas,Aug 27 2020,5600
Texas,Aug 26 2020,5407
Texas,Aug 25 2020,6346
Texas,Aug 24 2020,2847
Texas,Aug 23 2020,4398
